Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2017-02-16,ITO,420.625,2,2017,3,Winter,174.58333333333334,303.43055555555554,292.99404761904765
2017-02-17,ITO,246.58333333333334,2,2017,4,Winter,420.625,280.59722222222223,293.57142857142856
2017-02-18,ITO,60.916666666666664,2,2017,5,Winter,246.58333333333334,242.70833333333334,263.28571428571433
2017-02-19,ITO,60.875,2,2017,6,Winter,60.916666666666664,122.79166666666667,224.92261904761907
2017-02-20,ITO,119.04166666666667,2,2017,0,Winter,60.875,80.27777777777779,199.67261904761904
2017-02-21,ITO,305.3076923076923,2,2017,1,Winter,119.04166666666667,161.741452991453,198.27609890109892
2017-02-22,ITO,97.88888888888889,2,2017,2,Winter,305.3076923076923,174.07941595441596,187.31974969474967
2017-02-23,ITO,145.16666666666666,2,2017,3,Winter,97.88888888888889,182.78774928774928,147.96855921855922
2017-02-24,ITO,126.04166666666667,2,2017,4,Winter,145.16666666666666,123.0324074074074,130.74832112332112
2017-02-25,ITO,133.33333333333334,2,2017,5,Winter,126.04166666666667,134.84722222222223,141.09355921855922
2017-02-26,ITO,216.83333333333334,2,2017,6,Winter,133.33333333333334,158.73611111111111,163.37332112332112
2017-02-27,ITO,187.83333333333334,2,2017,0,Winter,216.83333333333334,179.33333333333334,173.20070207570208
2017-02-28,ITO,269.2916666666667,2,2017,1,Winter,187.83333333333334,224.6527777777778,168.05555555555557
2017-03-01,ITO,214.93333333333334,3,2017,2,Spring,269.2916666666667,224.01944444444447,184.7761904761905
2017-03-02,ITO,286.2083333333333,3,2017,3,Spring,214.93333333333334,256.81111111111113,204.925
2017-03-03,ITO,111.29166666666667,3,2017,4,Spring,286.2083333333333,204.14444444444442,202.81785714285715
2017-03-04,ITO,171.83333333333334,3,2017,5,Spring,111.29166666666667,189.77777777777774,208.31785714285715
2017-03-05,ITO,201.29166666666666,3,2017,6,Spring,171.83333333333334,161.4722222222222,206.09761904761905
2017-03-06,ITO,190.33333333333334,3,2017,0,Spring,201.29166666666666,187.81944444444443,206.4547619047619
2017-03-07,ITO,229.75,3,2017,1,Spring,190.33333333333334,207.125,200.8059523809524
2017-03-08,ITO,156.58333333333334,3,2017,2,Spring,229.75,192.22222222222226,192.47023809523807
2017-03-09,ITO,83.0,3,2017,3,Spring,156.58333333333334,156.44444444444446,163.44047619047618
2017-03-10,ITO,88.0,3,2017,4,Spring,83.0,109.19444444444446,160.1130952380952
2017-03-11,ITO,81.20833333333333,3,2017,5,Spring,88.0,84.06944444444444,147.16666666666669
2017-03-12,ITO,121.45833333333333,3,2017,6,Spring,81.20833333333333,96.88888888888887,135.76190476190476
2017-03-13,ITO,138.375,3,2017,0,Spring,121.45833333333333,113.68055555555554,128.33928571428572
2017-03-14,ITO,132.375,3,2017,1,Spring,138.375,130.73611111111111,114.42857142857143
2017-03-15,ITO,198.41666666666666,3,2017,2,Spring,132.375,156.38888888888889,120.4047619047619
2017-03-16,ITO,213.375,3,2017,3,Spring,198.41666666666666,181.38888888888889,139.0297619047619
2017-03-17,ITO,215.91666666666666,3,2017,4,Spring,213.375,209.2361111111111,157.30357142857142
2017-03-18,ITO,168.54166666666666,3,2017,5,Spring,215.91666666666666,199.27777777777774,169.7797619047619
2017-03-19,ITO,215.08333333333334,3,2017,6,Spring,168.54166666666666,199.8472222222222,183.15476190476193
2017-03-20,ITO,244.79166666666666,3,2017,0,Spring,215.08333333333334,209.47222222222226,198.35714285714286
2017-03-21,ITO,248.25,3,2017,1,Spring,244.79166666666666,236.04166666666666,214.91071428571428
2017-03-22,ITO,201.79166666666666,3,2017,2,Spring,248.25,231.6111111111111,215.39285714285714
2017-03-23,ITO,256.4166666666667,3,2017,3,Spring,201.79166666666666,235.48611111111111,221.54166666666669
2017-03-24,ITO,206.16666666666666,3,2017,4,Spring,256.4166666666667,221.45833333333334,220.1488095238095
2017-03-25,ITO,178.45833333333334,3,2017,5,Spring,206.16666666666666,213.68055555555557,221.5654761904762
2017-03-26,ITO,165.875,3,2017,6,Spring,178.45833333333334,183.5,214.53571428571428
2017-03-27,ITO,151.0,3,2017,0,Spring,165.875,165.11111111111111,201.1369047619048
2017-03-28,ITO,223.33333333333334,3,2017,1,Spring,151.0,180.06944444444446,197.57738095238096
2017-03-29,ITO,141.0,3,2017,2,Spring,223.33333333333334,171.7777777777778,188.89285714285714
2017-03-30,ITO,127.04166666666667,3,2017,3,Spring,141.0,163.79166666666666,170.41071428571428
2017-03-31,ITO,158.20833333333334,3,2017,4,Spring,127.04166666666667,142.08333333333334,163.55952380952382
2017-04-01,ITO,171.20833333333334,4,2017,5,Spring,158.20833333333334,152.1527777777778,162.52380952380955
2017-04-02,ITO,136.625,4,2017,6,Spring,171.20833333333334,155.34722222222226,158.3452380952381
2017-04-03,ITO,100.66666666666667,4,2017,0,Spring,136.625,136.16666666666666,151.15476190476193
2017-04-04,ITO,249.25,4,2017,1,Spring,100.66666666666667,162.18055555555554,154.85714285714286
2017-04-05,ITO,233.33333333333334,4,2017,2,Spring,249.25,194.41666666666666,168.04761904761907
2017-04-06,ITO,87.41666666666667,4,2017,3,Spring,233.33333333333334,190.0,162.38690476190476
2017-04-07,ITO,101.04347826086956,4,2017,4,Spring,87.41666666666667,140.59782608695653,154.22049689440996
2017-04-08,ITO,118.61904761904762,4,2017,5,Spring,101.04347826086956,102.35973084886128,146.70774179236915
2017-04-09,ITO,159.7,4,2017,6,Spring,118.61904761904762,126.45417529330571,150.00417036379773
2017-04-10,ITO,236.6086956521739,4,2017,0,Spring,159.7,171.64258109040716,169.42446021887014
2017-04-11,ITO,355.3076923076923,4,2017,1,Spring,236.6086956521739,250.53879598662206,184.57555911996906
2017-04-12,ITO,221.0,4,2017,2,Spring,355.3076923076923,270.9721293199554,182.8136543580643
2017-04-13,ITO,277.9583333333333,4,2017,3,Spring,221.0,284.75534188034186,210.03389245330237
2017-04-14,ITO,240.5,4,2017,4,Spring,277.9583333333333,246.4861111111111,229.9562527017496
2017-04-15,ITO,165.8,4,2017,5,Spring,240.5,228.0861111111111,236.69638875617133
